pressure_percent,condition,n,throughput_mean_events_s,throughput_median_events_s,throughput_sd_events_s,throughput_cv_percent,throughput_degradation_vs_baseline_percent,avg_latency_mean_ms,avg_latency_median_ms,avg_latency_sd_ms,avg_latency_cv_percent,avg_latency_increase_vs_baseline_percent,p95_latency_mean_ms,p95_latency_median_ms,p95_latency_sd_ms,p95_latency_cv_percent,p95_latency_increase_vs_baseline_percent,max_latency_mean_ms,max_latency_median_ms
0,Baseline,5,2628.33,2613.22,45.246999900545994,1.7215113741632897,0.0,0.378,0.38,0.008366600265340763,2.2133863135822125,0.0,0.472,0.47,0.019235384061671336,4.075293233404944,0.0,22.838,23.79
25,25% pressure,5,2512.31,2518.31,67.32588172463831,2.679839738115054,4.414209783398583,0.396,0.4,0.011401754250991374,2.8792308714624677,4.761904761904765,0.546,0.54,0.039749213828703577,7.280075792802852,15.67796610169493,27.424,36.6
50,50% pressure,5,2487.768,2488.69,23.883464363446105,0.9600358378854501,5.347958589674809,0.4,0.4,0.0,0.0,5.820105820105825,0.574,0.57,0.015165750888103064,2.6421168794604646,21.610169491525422,30.414,35.48
75,75% pressure,5,2363.512,2378.45,60.409947607989146,2.5559399574865345,10.075523240993322,0.424,0.42,0.01140175425099139,2.6890929837243847,12.169312169312166,0.658,0.64,0.05069516742254629,7.704432738988798,39.40677966101696,32.728,38.36
100,100% pressure,5,2225.122,2332.22,270.27740207053927,12.146632951835418,15.340843805762598,0.45599999999999996,0.43,0.06465291950097844,14.178271820390009,20.634920634920622,0.66,0.62,0.13285330255586422,20.12928826604003,39.830508474576284,49.27,46.62
