pressure_percent,condition,n,throughput_mean_events_s,throughput_median_events_s,throughput_sd_events_s,throughput_cv_percent,throughput_degradation_vs_baseline_percent,avg_latency_mean_ms,avg_latency_median_ms,avg_latency_sd_ms,avg_latency_cv_percent,avg_latency_increase_vs_baseline_percent,p95_latency_mean_ms,p95_latency_median_ms,p95_latency_sd_ms,p95_latency_cv_percent,p95_latency_increase_vs_baseline_percent,max_latency_mean_ms,max_latency_median_ms
0,Baseline,2,2431.21,2431.21,55.154328932550705,2.2685958404477895,0.0,0.41000000000000003,0.41000000000000003,0.014142135623730923,3.449301371641688,0.0,0.5700000000000001,0.5700000000000001,0.014142135623730885,2.4810764252159445,0.0,24.605,24.605
25,25% pressure,1,2057.57,2057.57,0.0,0.0,15.368479070092663,0.48,0.48,0.0,0.0,17.073170731707304,0.74,0.74,0.0,0.0,29.824561403508753,43.85,43.85
