load_percent,n,events_per_sec_mean,events_per_sec_sd,events_per_sec_median,events_per_sec_ci95_low,events_per_sec_ci95_high,events_per_sec_cv_pct,latency_avg_ms_mean,latency_p95_ms_mean,latency_p95_ms_sd,latency_p95_ms_ci95_low,latency_p95_ms_ci95_high,latency_max_ms_mean,throughput_change_vs_baseline_mean_pct,p95_change_vs_baseline_mean_pct
0,10,2655.846,46.35586267608927,2662.205,2622.685013502432,2689.006986497568,1.7454273582161492,0.376,0.466,0.017126976771553497,0.45374809888807005,0.47825190111193,25.168,0.0,0.0
25,10,2535.401,94.76490752851971,2536.36,2467.610268955802,2603.1917310441977,3.737669407266137,0.39299999999999996,0.531,0.051950831455222064,0.4938366139475889,0.5681633860524111,25.354,-4.535089760475575,13.948497854077257
50,10,2476.353,108.76630013729235,2499.0150000000003,2398.54627605991,2554.1597239400903,4.392196917696804,0.404,0.588,0.09271221901969318,0.5216776738563976,0.6543223261436023,26.490000000000002,-6.758411444037038,26.18025751072961
75,10,2399.012,120.25839049498552,2417.4049999999997,2312.984329858495,2485.039670141505,5.012829885593966,0.417,0.643,0.10954958288880479,0.5646329493342878,0.7213670506657123,32.771,-9.670515534409741,37.98283261802575
100,10,2373.757,242.6936407192318,2436.99,2200.1444280763344,2547.3695719236657,10.224030543953395,0.426,0.6010000000000001,0.11219526628952656,0.5207403414425695,0.6812596585574306,44.51700000000001,-10.621436634503656,28.969957081545083
