pressure_percent,condition,n,throughput_mean_events_s,throughput_median_events_s,throughput_sd_events_s,throughput_cv_percent,throughput_degradation_vs_baseline_percent,avg_latency_mean_ms,avg_latency_median_ms,avg_latency_sd_ms,avg_latency_cv_percent,avg_latency_increase_vs_baseline_percent,p95_latency_mean_ms,p95_latency_median_ms,p95_latency_sd_ms,p95_latency_cv_percent,p95_latency_increase_vs_baseline_percent,max_latency_mean_ms,max_latency_median_ms
0,Baseline,5,2615.806,2640.84,46.68924533551601,1.7848894503459358,0.0,0.382,0.38,0.004472135954999583,1.1707162185862783,0.0,0.494,0.48,0.026076809620810618,5.278706400973809,0.0,13.378,6.8
50,50% pressure,5,2480.66,2482.17,18.825930255899753,0.7589081234792254,5.1665146421409,0.402,0.4,0.004472135954999559,1.1124716305969051,5.235602094240843,0.59,0.59,0.007071067811865481,1.1984860698077087,19.433198380566797,16.956,16.16
100,100% pressure,5,2252.284,2245.07,37.0295649447843,1.6440895084627114,13.89713151510471,0.44,0.44,0.007071067811865481,1.607060866333064,15.18324607329843,0.674,0.68,0.015165750888103085,2.2501114077304276,36.437246963562764,34.912,27.02
